PRN,M0,DELTA_N,ECC,SQRT_A,LOA,INC,PERIGEE,RA_RATE,INC_RATE,Cuc,Cus,Crc,Crs,Cic,Cis,Toe,IODE,GPS_WEEK,TOC,Af0,Af1,Af2,BLANK,HEALTH
1,-2.64199757291,4.8098431904e-09,0.000405730679631,5153.65901756,2.77343612196,0.960509400432,1.44114064771,-8.07747913001e-09,2.25366530993e-10,3.68803739548e-07,7.80075788498e-06,228.125,9.4375,2.79396772385e-08,-1.11758708954e-08,345600,27,1658,345600,3.91071662307e-05,2.80806489172e-11,0,0,0
1,-1.59171981795,4.7751989062e-09,0.000405862578191,5153.65894318,2.77337797974,0.960510949662,1.44105488122,-8.09676583422e-09,2.20723479733e-10,5.88595867157e-07,7.74301588535e-06,229.96875,10.125,1.30385160446e-08,1.86264514923e-08,352800,28,1658,352800,3.93092632294e-05,2.80806489172e-11,0,0,0
1,-0.538948062699,4.70662462124e-09,0.000406542909332,5153.66130638,2.77331969709,0.960512555946,1.43847404357,-8.09462288782e-09,2.23223583873e-10,8.56816768646e-07,7.54185020924e-06,235.53125,17.0625,2.60770320892e-08,1.30385160446e-08,360000,29,1658,360000,3.95108945668e-05,2.79669620795e-11,0,0,0
1,0.511450558552,4.610192033e-09,0.000408313586377,5153.66466332,2.77326149928,0.960514121269,1.4382637608,-8.08783689087e-09,2.14651798252e-10,1.03004276753e-06,7.9907476902e-06,223.78125,21.5625,3.72529029846e-09,1.11758708954e-08,367200,88,1658,367200,3.97125259042e-05,2.79669620795e-11,0,0,0
1,1.56184155068,4.55090384913e-09,0.000408462365158,5153.66466904,2.77320323564,0.960515835809,1.43805951988,-8.05390690612e-09,2.29295265354e-10,1.14925205708e-06,8.17142426968e-06,221.3125,20.90625,9.31322574616e-09,-3.53902578354e-08,374400,89,1658,374400,3.99141572416e-05,2.79669620795e-11,0,0,0
1,2.61479969926,4.54590365351e-09,0.000409087282606,5153.66222382,2.77314563763,0.960517660067,1.43528864917,-7.99104693527e-09,2.0036548809e-10,8.41915607452e-07,8.57189297676e-06,214.53125,14.75,9.31322574616e-09,4.47034835815e-08,381600,90,1658,381600,4.01153229177e-05,2.79669620795e-11,0,0,0
1,-2.61820142413,4.57626203598e-09,0.000409621512517,5153.6612072,2.77308854872,0.960518874289,1.43529274826,-7.98319010897e-09,1.22147944537e-10,8.04662704468e-07,8.46199691296e-06,218.125,13.75,-1.30385160446e-08,-5.02914190292e-08,388800,95,1658,388800,4.03160229325e-05,2.78532752418e-11,0,0,0
1,-1.57126050924,4.7073389367e-09,0.000409960281104,5153.66028404,2.77303130766,0.960519185891,1.43620764114,-8.07533637017e-09,6.60741808263e-11,7.58096575737e-07,8.32788646221e-06,218.84375,17.5625,2.421438694e-08,5.77419996262e-08,395984,30,1658,395984,4.05185855925e-05,2.78532752418e-11,0,0,0
1,-1.56890273148,4.70698177897e-09,0.000409959815443,5153.66029358,2.77303115844,0.96051920052,1.43618363173,-8.07533637017e-09,6.64313385605e-11,7.58096575737e-07,8.32602381706e-06,218.84375,17.5625,2.421438694e-08,5.77419996262e-08,396000,96,1658,396000,4.05167229474e-05,2.78532752418e-11,0,0,0
1,-0.518765603915,4.79305679291e-09,0.000410598353483,5153.66244125,2.7729727017,0.960519443365,1.43390307264,-8.14926802115e-09,9.60754304988e-11,1.29453837872e-06,7.84173607826e-06,223.71875,24.03125,1.11758708954e-08,-2.421438694e-08,403184,31,1658,403184,4.07192856073e-05,2.78532752418e-11,0,0,0
1,0.533735450052,4.79591405479e-09,0.000412200693972,5153.66547966,2.77291336574,0.960520410353,1.43392491108,-8.15462538716e-09,1.92150860998e-10,1.50874257088e-06,8.5849314928e-06,212.8125,26.96875,2.23517417908e-08,9.49949026108e-08,410400,32,1658,410400,4.09199856222e-05,2.77395884041e-11,0,0,0
1,1.58413173941,4.7312685049e-09,0.000412417575717,5153.66553879,2.77285453888,0.960522560843,1.4337163487,-8.0317631266e-09,2.71439877989e-10,1.41374766827e-06,8.78609716892e-06,209.5625,25.8125,-4.47034835815e-08,-4.842877388e-08,417600,33,1658,417600,4.11197543144e-05,2.77395884041e-11,0,0,0
1,2.63723626903,4.73269713583e-09,0.000413044006564,5153.66297531,2.77279663219,0.960524502135,1.43080016342,-8.0442636473e-09,2.84654714154e-10,9.61124897003e-07,9.29087400436e-06,202,19.75,-1.67638063431e-08,-7.63684511185e-08,424800,34,1658,424800,4.13195230067e-05,2.77395884041e-11,0,0,0
2,-0.441613195968,5.35343727786e-09,0.0105538998032,5153.58325005,2.76448322277,0.939094017698,-2.92243381192,-8.46785272006e-09,2.27152318949e-10,8.25151801109e-07,7.54930078983e-06,221.90625,13.5625,1.4528632164e-07,3.53902578354e-08,345600,15,1658,345600,0.000361606944352,1.81898940355e-12,0,0,0
2,0.60863115033,5.29914930227e-09,0.0105533461319,5153.58219528,2.7644225658,0.939095751256,-2.92243586001,-8.41249327126e-09,1.85364864048e-10,6.38887286186e-07,7.8584998846e-06,218.4375,11.625,9.87201929092e-08,1.58324837685e-07,352800,16,1658,352800,0.000361619517207,1.81898940355e-12,0,0,0
2,1.65881910114,5.18914472013e-09,0.0105535796611,5153.58336067,2.76436256421,0.939096822112,-2.92238229672,-8.36427697714e-09,1.28933942045e-10,6.23986124992e-07,7.82683491707e-06,214.25,12.96875,-3.72529029846e-08,1.58324837685e-07,360000,17,1658,360000,0.000361632090062,1.81898940355e-12,0,0,0
2,2.70910834,5.05556772755e-09,0.0105540257646,5153.58209228,2.76430204329,0.939098937492,-2.92243021168,-8.17534053575e-09,2.63582407837e-10,1.02818012237e-06,7.88830220699e-06,212.84375,17.625,-1.75088644028e-07,-5.58793544769e-08,367200,33,1658,367200,0.000361645128578,1.81898940355e-12,0,0,0
2,-2.52382261452,4.98985070445e-09,0.0105533709284,5153.58332062,2.76424320765,0.939100929986,-2.92244430251,-8.17105464294e-09,2.87511976028e-10,1.12876296043e-06,7.8696757555e-06,216.0625,21.5625,-9.685754776e-08,-1.24797224999e-07,374400,49,1658,374400,0.000361657701433,1.81898940355e-12,0,0,0
2,-1.47357779716,5.0362812099e-09,0.0105533075985,5153.5834713,2.76418431496,0.939103040977,-2.92244956462,-8.20069873488e-09,2.64296723305e-10,1.17346644402e-06,8.01682472229e-06,215.875,22.1875,-9.31322574616e-09,-2.14204192162e-07,381600,50,1658,381600,0.000361670274288,1.81898940355e-12,0,0,0
2,-0.423300606889,5.19771647944e-09,0.0105535369366,5153.58432198,2.76412567828,0.939103336486,-2.92248748053,-8.45820924411e-09,7.32173349727e-11,9.05245542526e-07,8.02986323833e-06,215.71875,18.84375,2.08616256714e-07,5.02914190292e-08,388800,51,1658,388800,0.000361683312804,1.81898940355e-12,0,0,0
2,0.626945680701,5.26843368931e-09,0.0105527443811,5153.58279991,2.76406486624,0.939103811935,-2.92249261976,-8.44285175106e-09,3.64300881128e-11,9.05245542526e-07,8.1080943346e-06,211,15.78125,1.17346644402e-07,1.50874257088e-07,396000,52,1658,396000,0.000361695885658,1.81898940355e-12,0,0,0
2,1.67709362509,5.24700416449e-09,0.0105531587033,5153.58482361,2.76400427802,0.939103962615,-2.92239939824,-8.40427905047e-09,3.89301924031e-11,1.10641121864e-06,8.59051942825e-06,203.875,18.40625,-1.86264514923e-09,2.10478901863e-07,403200,77,1658,403200,0.000361708458513,1.81898940355e-12,0,0,0
2,2.72739289518,5.18521598506e-09,0.0105536796618,5153.5833168,2.76394344257,0.939105693247,-2.92245735612,-8.17926927083e-09,2.02151277555e-10,1.1995434761e-06,8.62590968609e-06,202.3125,24.0625,-1.76951289177e-07,-3.91155481338e-08,410400,79,1658,410400,0.000361721497029,1.81898940355e-12,0,0,0
2,-2.50787192277,5.22521765129e-09,0.0105529358843,5153.58472824,2.76388420024,0.939106974764,-2.92247090567,-8.26141554969e-09,2.58582199558e-10,1.41747295856e-06,8.38004052639e-06,206.03125,28.15625,-1.17346644402e-07,-2.01165676117e-07,417584,18,1658,417584,0.000361731741577,1.70530256582e-12,0,0,0
2,-2.50553796718,5.22486049355e-09,0.0105529341381,5153.58472633,2.76388407151,0.939106968912,-2.92247092469,-8.26105839195e-09,2.58582199558e-10,1.41747295856e-06,8.38004052639e-06,206.03125,28.15625,-1.17346644402e-07,-2.01165676117e-07,417600,80,1658,417600,0.000361734069884,1.81898940355e-12,0,0,0
2,-1.45760639927,5.25129016589e-09,0.0105528529966,5153.58525658,2.76382366323,0.939109309581,-2.92249557632,-8.32356099544e-09,3.94302138552e-10,1.43982470036e-06,8.4675848484e-06,204.125,28.40625,6.51925802231e-08,-1.13621354103e-07,424784,19,1658,424784,0.000361744780093,1.70530256582e-12,0,0,0
3,-0.274506386887,5.21593168656e-09,0.0148948066635,5153.68360329,1.6040042,0.929350535637,1.14762225062,-8.61107274375e-09,2.76082934292e-10,-2.25193798542e-06,9.62242484093e-06,181.21875,-44.03125,-7.63684511185e-08,2.25380063057e-07,345600,21,1658,345600,0.000783596653491,5.11590769747e-12,0,0,0
3,0.775698565953,5.19557355935e-09,0.014894243679,5153.6823864,1.60394371126,0.929351764488,1.14759633795,-8.55749931134e-09,3.17870383435e-11,-2.24448740482e-06,9.33744013309e-06,186.6875,-42.5,-2.23517417908e-07,-3.72529029846e-08,352800,33,1658,352800,0.000783632975072,5.11590769747e-12,0,0,0
3,1.82574599909,5.04056710271e-09,0.0148944765096,5153.68610001,1.60388186201,0.929353135243,1.14772866328,-8.31356057888e-09,1.21790787361e-10,-3.07150185108e-06,8.90158116817e-06,193.84375,-55.0625,-1.210719347e-07,-3.48314642906e-07,360000,34,1658,360000,0.000783669762313,5.11590769747e-12,0,0,0
3,2.8759474497,4.98163607657e-09,0.0148953970056,5153.684412,1.60382380757,0.929355004852,1.14770364299,-8.02461997192e-09,6.10739725475e-11,-3.27080488205e-06,8.68178904056e-06,192.90625,-63.75,1.19209289551e-07,-1.15483999252e-07,367200,35,1658,367200,0.000783706083894,5.11590769747e-12,0,0,0
3,-2.35702708222,4.97735008764e-09,0.0148949720897,5153.6853981,1.60376572387,0.929355606111,1.14767089703,-8.03926347714e-09,1.07861636289e-10,-3.42354178429e-06,8.95746052265e-06,187.3125,-67.6875,1.67638063431e-07,-5.77419996262e-08,374400,36,1658,374400,0.000783742871136,5.11590769747e-12,0,0,0
3,-1.30692490962,5.18450166959e-09,0.0148948532296,5153.68342209,1.6037082546,0.929354728361,1.14774565653,-8.35070498324e-09,-6.07168148133e-11,-3.04542481899e-06,9.3337148428e-06,180.09375,-61.09375,2.55182385445e-07,3.35276126862e-07,381600,69,1658,381600,0.000783779192716,5.11590769747e-12,0,0,0
3,-0.256746742807,5.36879506044e-09,0.014895374421,5153.68404961,1.60364600012,0.929352986025,1.1477486877,-8.71000566384e-09,-8.21462788651e-12,-2.73808836937e-06,9.51066613197e-06,178.25,-54.6875,-9.49949026108e-08,1.63912773132e-07,388800,71,1658,388800,0.000783815979958,5.11590769747e-12,0,0,0
3,0.793465790875,5.44665544649e-09,0.0148946164409,5153.68240356,1.60358391095,0.929352589574,1.14771697456,-8.68107588737e-09,-1.03932900651e-10,-2.60956585407e-06,9.44174826145e-06,185.125,-52.96875,-1.82539224625e-07,6.51925802231e-08,396000,72,1658,396000,0.000783852301538,5.11590769747e-12,0,0,0
3,1.84352296558,5.2691480526e-09,0.0148947575362,5153.6858654,1.60352109471,0.929353742354,1.14784169418,-8.32427531091e-09,6.60741808263e-11,-3.53157520294e-06,8.95000994205e-06,192.90625,-64.21875,-1.60187482834e-07,-3.55765223503e-07,403200,73,1658,403200,0.00078388908878,5.11590769747e-12,0,0,0
