PRN,GPS_WEEK,TOC,SAT_POS_X_M,SAT_POS_Y_M,SAT_POS_Z_M,SAT_VEL_X_MPS,SAT_VEL_Y_MPS,SAT_VEL_Z_MPS,REL_CLK_CORR,SAT_CLK_CORR,HEALTH
5,1658,417088,-3114867.62423199,-24950784.5410393,-8382625.95228122,412.642408713709,-1026.47330846432,2918.50071552915,-0.934742296404619,-70254.6431490085,0
5,1658,417089,-3114455.03160663,-24951810.8436965,-8379707.36183117,412.542848678384,-1026.13200141261,2918.68017339114,-0.934528545054301,-70254.644682719,0
5,1658,417090,-3114042.53851973,-24952836.8050311,-8376788.59195446,412.443331826073,-1025.79066299909,2918.85956886975,-0.934314773696763,-70254.6462164296,0
5,1658,417091,-3113630.14492809,-24953862.4250115,-8373869.64271348,412.343858162924,-1025.44929323561,2919.03890196103,-0.934100982336571,-70254.6477501401,0
5,1658,417092,-3113217.85078851,-24954887.7036065,-8370950.51417059,412.24442769509,-1025.10789213401,2919.21817266104,-0.933887170978288,-70254.6492838507,0
5,1658,417093,-3112805.65605781,-24955912.6407847,-8368031.2063882,412.14504042872,-1024.76645970613,2919.39738096583,-0.933673339626481,-70254.6508175612,0
5,1658,417094,-3112393.56069275,-24956937.2365149,-8365111.71942869,412.045696369961,-1024.42499596381,2919.57652687147,-0.933459488285714,-70254.6523512718,0
5,1658,417095,-3111981.56465017,-24957961.4907656,-8362192.0533545,411.946395524958,-1024.0835009189,2919.75561037401,-0.933245616960556,-70254.6538849823,0
5,1658,417096,-3111569.6678868,-24958985.4035057,-8359272.20822799,411.847137899848,-1023.74197458325,2919.93463146951,-0.933031725655571,-70254.6554186928,0
5,1658,417097,-3111157.87035965,-24960008.9747037,-8356352.18411162,411.747923500768,-1023.40041696871,2920.11359015404,-0.932817814375329,-70254.6569524034,0
5,1658,417098,-3110746.17202509,-24961032.2043286,-8353431.98106775,411.648752333866,-1023.05882808712,2920.29248642367,-0.932603883124396,-70254.6584861139,0
5,1658,417099,-3110334.57284006,-24962055.0923489,-8350511.5991588,411.549624405271,-1022.71720795034,2920.47132027446,-0.932389931907339,-70254.6600198245,0
5,1658,417100,-3109923.07276137,-24963077.6387334,-8347591.03844725,411.450539721112,-1022.37555657023,2920.65009170247,-0.932175960728731,-70254.661553535,0
5,1658,417101,-3109511.67174572,-24964099.843451,-8344670.29899546,411.351498287521,-1022.03387395863,2920.82880070377,-0.931961969593135,-70254.6630872456,0
